VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,02:52.0,09:00.0,N,1,74,75,1,1.15,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,53:09.0,59:18.0,N,1,74,75,1,1.22,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,04:42.0,10:12.0,N,1,74,75,1,1.42,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,05:43.0,13:20.0,N,1,74,75,1,0.8,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,19:04.0,25:51.0,N,1,74,75,1,1.32,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,31:40.0,38:00.0,N,1,74,75,1,1.39,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,55:06.0,01:37.0,N,1,74,75,1,1.21,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,31:54.0,39:25.0,N,1,74,75,1,0.95,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,15:25.0,21:27.0,N,1,74,75,1,1.37,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,38:58.0,45:05.0,N,1,74,75,1,1.16,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,58:05.0,06:16.0,N,1,74,75,1,0.85,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,47:13.0,53:57.0,N,1,74,75,1,1.28,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,27:34.0,33:45.0,N,1,74,75,1,1.21,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,28:23.0,34:38.0,N,1,74,75,1,1.39,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,36:18.0,42:57.0,N,1,74,75,1,1.01,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,30:47.0,37:08.0,N,1,74,75,1,1.29,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,53:41.0,59:58.0,N,1,74,75,1,1.43,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,42:57.0,49:57.0,N,1,74,75,1,1.46,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,39:55.0,45:54.0,N,1,74,75,1,1.36,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,32:50.0,39:23.0,N,1,74,75,1,1.26,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,58:27.0,03:45.0,N,1,74,75,1,1.41,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,56:36.0,03:10.0,N,1,74,75,1,1.15,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,49:36.0,56:05.0,N,1,74,75,1,1.37,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,52:59.0,58:27.0,N,1,74,75,1,1.43,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,59:26.0,05:20.0,N,1,74,75,1,1.32,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,13:03.0,19:55.0,N,1,74,75,1,1.06,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,58:57.0,04:35.0,N,1,74,75,1,1.32,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,40:31.0,47:07.0,N,1,74,75,1,1.25,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,32:25.0,38:59.0,N,1,74,75,1,1.42,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,01:56.0,08:43.0,N,1,74,75,1,1.27,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,30:24.0,35:43.0,N,1,74,75,1,1.4,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,18:39.0,24:30.0,N,1,74,75,1,1.24,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,53:41.0,59:29.0,N,1,74,75,1,1.23,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,55:57.0,01:50.0,N,1,74,75,1,1.38,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,32:14.0,39:53.0,N,1,74,75,1,0.96,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,50:36.0,55:59.0,N,1,74,75,1,1.36,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,08:59.0,16:23.0,N,1,74,75,1,0.9,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,35:36.0,42:09.0,N,1,74,75,1,1.34,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,51:55.0,59:17.0,N,1,74,75,1,1.06,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,25:03.0,31:43.0,N,1,74,75,1,1.19,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,23:19.0,29:51.0,N,1,74,75,1,1.09,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,48:49.0,56:13.0,N,1,74,75,1,1.2,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,19:57.0,26:33.0,N,1,74,75,1,1.36,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,20:10.0,27:50.0,N,1,74,75,1,1.25,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,57:27.0,03:54.0,N,1,74,75,1,1.21,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,26:35.0,32:39.0,N,1,74,75,1,1.37,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,59:09.0,05:55.0,N,1,74,75,1,1.4,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,07:47.0,14:35.0,N,1,74,75,1,1.17,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,27:55.0,34:54.0,N,1,74,75,1,1.1,6.5,0,0.5,0,0,0.3,7.3,2,1,0
